customer_id,signup_date,acquisition_channel,cac,initial_plan,age,country,churned,ltv
C000131,2022-11-20,Organic,24.86,Premium,62,UK,1,359.91
C000132,2022-07-16,Paid Search,101.7,Basic,55,France,1,119.88
C000133,2023-09-04,Social Media,79.03,Standard,36,UK,1,159.92
C000134,2023-01-05,Paid Search,71.16,Standard,26,Canada,1,59.97
C000135,2022-02-16,Organic,21.07,Standard,26,Australia,1,19.99
C000136,2023-05-18,Organic,27.45,Standard,48,Germany,1,19.99
C000137,2023-03-28,Social Media,39.22,Basic,48,US,1,9.99
C000138,2022-03-08,Referral,39.67,Standard,61,US,1,19.99
C000139,2022-06-05,Paid Search,106.78,Premium,23,UK,1,39.99
C000140,2022-05-02,Email,50.58,Standard,57,UK,1,259.87
C000141,2023-06-20,Referral,38.02,Basic,55,Germany,1,19.98
C000142,2022-11-09,Email,44.84,Standard,65,US,1,259.87
C000143,2022-08-01,Affiliate,28.44,Standard,28,UK,1,219.89
C000144,2022-06-27,Email,23.0,Basic,46,Australia,1,19.98
C000145,2023-09-01,Referral,31.65,Basic,63,Canada,1,49.95
C000146,2023-04-10,Organic,23.75,Premium,58,France,1,119.97
C000147,2023-11-09,Paid Search,79.76,Standard,59,UK,1,19.99
C000148,2022-09-30,Paid Search,55.0,Basic,37,France,1,9.99
C000149,2023-08-06,Social Media,51.96,Basic,37,Australia,1,9.99
C000150,2023-02-17,Social Media,55.02,Basic,23,France,1,19.98
C000151,2022-02-10,Referral,49.38,Standard,19,US,1,39.98
C000152,2022-08-23,Affiliate,53.44,Standard,19,Australia,1,39.98
C000153,2022-10-03,Email,21.61,Standard,48,France,1,259.87
C000154,2023-10-30,Referral,56.64,Basic,55,Germany,1,129.91
C000155,2023-10-13,Referral,58.76,Basic,44,Canada,0,379.66
C000156,2022-11-25,Affiliate,24.18,Basic,44,Australia,1,19.98
C000157,2023-05-23,Social Media,63.13,Basic,53,US,1,9.99
C000158,2023-04-11,Organic,16.29,Basic,43,France,1,39.96
C000159,2022-01-02,Affiliate,54.77,Basic,21,UK,0,369.74
C000160,2023-06-15,Social Media,61.13,Basic,46,US,0,9.99
C000161,2022-07-28,Social Media,57.46,Premium,46,Australia,1,1039.74
C000162,2023-05-12,Organic,10.58,Standard,33,Australia,1,279.86
C000163,2022-06-12,Social Media,57.54,Standard,23,UK,1,119.94
C000164,2022-04-27,Referral,57.88,Standard,27,Germany,1,19.99
C000165,2022-10-26,Email,48.22,Basic,48,Germany,1,119.93
C000166,2022-09-07,Referral,42.05,Basic,56,France,1,9.99
C000167,2022-05-20,Organic,15.52,Standard,44,Canada,0,539.73
C000168,2023-06-04,Social Media,71.03,Basic,37,France,0,79.92
C000169,2023-08-17,Affiliate,39.59,Basic,52,Germany,1,89.91
C000170,2022-12-20,Social Media,57.6,Standard,47,Canada,1,39.98
C000171,2022-07-13,Affiliate,29.55,Basic,44,US,0,29.97
C000172,2022-11-22,Affiliate,38.92,Premium,42,Germany,1,0.0
C000173,2023-11-11,Affiliate,59.23,Basic,20,UK,1,279.82
C000174,2023-05-30,Email,33.28,Basic,46,US,1,29.97
C000175,2023-06-23,Referral,20.61,Basic,59,UK,1,99.9
C000176,2022-03-18,Referral,51.26,Basic,57,Australia,1,19.98
C000177,2023-02-12,Affiliate,23.21,Basic,61,France,0,9.99
C000178,2023-01-25,Social Media,61.34,Premium,49,France,1,119.97
C000179,2022-02-06,Email,22.74,Standard,36,UK,1,199.9
C000180,2022-04-03,Referral,59.13,Standard,63,US,1,79.96
C000181,2023-03-31,Paid Search,98.58,Premium,20,Canada,0,39.99
C000182,2022-02-27,Social Media,47.92,Basic,33,France,1,59.94
C000183,2023-02-26,Email,47.27,Basic,29,US,0,209.83
C000184,2023-09-17,Referral,44.79,Basic,55,UK,1,19.98
C000185,2022-08-26,Referral,45.52,Basic,60,US,1,409.7
C000186,2023-04-22,Social Media,63.88,Basic,46,Canada,1,9.99
C000187,2023-08-25,Social Media,61.95,Basic,34,Germany,1,19.98
C000188,2022-11-06,Paid Search,119.96,Premium,24,UK,0,519.87
C000189,2023-01-26,Email,34.36,Basic,62,Canada,0,239.76
C000190,2022-01-23,Affiliate,35.83,Basic,61,Australia,0,69.93
C000191,2022-02-20,Email,49.81,Standard,36,UK,0,679.66
C000192,2023-09-14,Social Media,40.95,Basic,34,Australia,1,9.99
C000193,2023-11-07,Affiliate,53.53,Standard,58,Australia,1,99.95
C000194,2022-02-10,Social Media,69.43,Basic,41,Australia,1,29.97
C000195,2022-05-15,Organic,28.19,Basic,44,UK,1,119.88
C000196,2022-07-25,Paid Search,105.06,Premium,41,France,1,119.97
C000197,2023-05-29,Social Media,71.52,Basic,48,Canada,1,29.97
C000198,2022-12-13,Organic,19.37,Basic,32,Australia,0,89.91
C000199,2023-11-22,Referral,58.69,Standard,41,US,0,659.67
C000200,2023-02-09,Organic,15.29,Basic,41,Australia,0,129.88
C000201,2023-11-20,Social Media,59.23,Standard,41,US,1,199.9
C000202,2023-11-23,Paid Search,83.0,Standard,53,Canada,1,179.91
C000203,2023-09-17,Paid Search,95.34,Standard,47,Australia,1,59.97
C000204,2022-11-06,Affiliate,36.33,Basic,20,Canada,1,19.98
C000205,2023-05-20,Organic,11.94,Premium,26,Germany,1,39.99
C000206,2023-04-10,Social Media,63.52,Standard,52,Germany,0,479.76
C000207,2023-08-25,Affiliate,49.06,Premium,59,US,0,159.96
C000208,2023-05-17,Email,36.32,Premium,20,Australia,1,39.99
C000209,2023-01-15,Paid Search,81.04,Premium,41,US,1,839.79
C000210,2023-01-12,Email,56.07,Standard,21,Germany,1,19.99
C000211,2022-10-10,Paid Search,117.77,Premium,47,US,0,959.67
C000212,2023-11-10,Paid Search,94.92,Standard,19,US,1,39.98
C000213,2022-12-08,Paid Search,119.22,Standard,31,US,0,239.88
C000214,2023-07-22,Paid Search,91.05,Standard,32,Canada,1,19.99
C000215,2022-06-01,Email,20.11,Premium,27,UK,0,439.89
C000216,2023-07-08,Social Media,69.93,Basic,19,UK,1,9.99
C000217,2022-01-16,Social Media,69.5,Basic,38,US,1,159.9
C000218,2022-06-28,Social Media,32.62,Standard,51,US,1,19.99
C000219,2022-03-07,Referral,37.93,Basic,55,US,0,29.97
C000220,2023-04-08,Email,28.86,Standard,64,Australia,1,39.98
C000221,2023-06-18,Social Media,52.9,Premium,21,Germany,1,79.98
C000222,2023-02-16,Referral,47.44,Basic,46,US,1,69.93
C000223,2022-03-24,Social Media,60.41,Basic,35,France,1,139.86
C000224,2023-10-11,Email,41.93,Basic,56,France,1,49.95
C000225,2022-10-29,Referral,40.22,Basic,62,US,1,49.95
C000226,2023-11-02,Affiliate,55.11,Standard,31,Germany,1,19.99
C000227,2023-04-08,Paid Search,78.97,Standard,43,Germany,1,59.97
C000228,2022-04-08,Social Media,51.34,Standard,41,UK,1,59.97
C000229,2023-05-01,Organic,11.82,Basic,45,US,1,59.94
C000230,2023-01-17,Paid Search,88.95,Standard,53,France,1,19.99
C000231,2022-12-04,Affiliate,24.89,Basic,60,Germany,0,19.98
C000232,2022-02-22,Social Media,60.02,Basic,54,France,1,19.98
C000233,2022-08-06,Paid Search,95.97,Basic,24,Canada,1,9.99
C000234,2023-07-24,Social Media,35.74,Basic,32,Germany,1,99.94
C000235,2023-07-29,Email,44.54,Standard,19,France,1,19.99
C000236,2023-11-05,Affiliate,30.7,Basic,62,Canada,1,19.98
C000237,2022-12-14,Social Media,30.31,Premium,54,Australia,1,0.0
C000238,2023-02-15,Organic,12.84,Standard,19,US,1,119.94
C000239,2023-06-28,Paid Search,76.33,Basic,28,Canada,1,39.96
C000240,2022-11-16,Affiliate,32.98,Premium,56,US,0,39.99
C000241,2022-02-23,Paid Search,61.02,Standard,61,US,1,79.96
C000242,2022-10-06,Referral,46.48,Basic,46,Germany,1,69.93
C000243,2022-10-07,Paid Search,102.85,Basic,45,US,0,59.94
C000244,2022-10-18,Affiliate,47.14,Basic,60,Canada,0,259.74
C000245,2022-02-16,Paid Search,77.67,Standard,18,UK,1,79.96
C000246,2022-11-05,Paid Search,103.71,Standard,36,Canada,1,239.88
C000247,2022-05-03,Organic,19.95,Basic,26,Germany,0,599.68
C000248,2023-06-30,Affiliate,29.2,Standard,60,Canada,1,119.94
C000249,2022-03-15,Referral,54.47,Basic,19,Germany,1,59.94
C000250,2022-03-21,Social Media,58.79,Standard,63,Australia,1,159.92
C000251,2023-03-04,Social Media,35.76,Basic,38,UK,1,19.98
C000252,2023-09-25,Referral,53.28,Premium,23,Germany,0,119.95
C000253,2022-04-19,Paid Search,80.5,Basic,23,Germany,0,249.75
C000254,2022-11-14,Affiliate,33.58,Basic,28,US,0,489.73
C000255,2023-06-07,Affiliate,24.56,Standard,40,Canada,1,19.99
C000256,2023-10-23,Paid Search,66.54,Basic,30,UK,1,69.93
C000257,2023-09-09,Paid Search,103.22,Standard,29,Australia,1,99.95
C000258,2023-05-21,Referral,50.18,Standard,46,Australia,1,19.99
C000259,2023-08-02,Affiliate,45.41,Standard,58,Canada,1,39.98
C000260,2022-06-04,Referral,22.73,Basic,37,Canada,0,509.72
C000261,2023-08-29,Organic,17.04,Basic,47,Germany,1,19.98
C000262,2022-02-08,Organic,17.37,Basic,59,US,0,149.88
C000263,2023-09-22,Email,40.28,Basic,53,Australia,0,109.9
C000264,2022-02-12,Referral,56.36,Standard,30,Canada,1,79.96
C000265,2023-09-12,Referral,40.05,Premium,46,US,0,79.98
C000266,2022-12-18,Affiliate,23.37,Standard,20,UK,0,599.7
C000267,2023-03-25,Referral,40.96,Standard,41,Canada,0,19.99
C000268,2022-10-17,Referral,36.35,Basic,56,US,0,159.84
C000269,2023-10-09,Affiliate,33.39,Basic,53,Australia,0,299.7
C000270,2023-01-31,Social Media,42.6,Premium,56,UK,0,119.97
C000271,2022-12-08,Organic,21.65,Basic,40,Canada,0,279.72
C000272,2023-11-03,Affiliate,46.49,Basic,63,US,1,179.9
C000273,2022-11-14,Email,35.07,Standard,26,Australia,1,419.79
C000274,2023-06-24,Organic,22.92,Basic,41,US,0,29.98
C000275,2023-01-07,Social Media,39.01,Basic,49,UK,1,9.99
C000276,2022-08-20,Paid Search,60.85,Basic,24,France,1,79.92
C000277,2023-07-07,Affiliate,55.35,Basic,39,France,0,79.92
C000278,2022-05-15,Email,35.07,Basic,62,France,1,59.96
C000279,2022-06-19,Affiliate,37.51,Basic,61,Australia,1,39.96
C000280,2022-09-01,Referral,44.42,Standard,46,UK,1,99.95
C000281,2023-07-01,Paid Search,71.66,Standard,48,UK,0,359.82
C000282,2023-01-12,Affiliate,57.89,Premium,47,Canada,0,839.72
C000283,2023-01-27,Email,41.1,Premium,30,France,0,1199.7
C000284,2022-05-22,Social Media,32.61,Basic,41,France,1,9.99
C000285,2022-04-16,Affiliate,53.84,Premium,36,US,0,439.89
C000286,2022-06-14,Social Media,52.47,Standard,45,US,1,19.99
C000287,2022-08-16,Referral,55.39,Premium,44,US,0,839.79
C000288,2023-02-10,Email,34.96,Basic,23,Canada,1,9.99
C000289,2022-08-18,Organic,16.37,Basic,63,Australia,1,9.99
C000290,2022-12-10,Paid Search,59.63,Basic,48,Australia,0,319.72
C000291,2022-05-23,Affiliate,38.76,Standard,23,US,0,519.74
C000292,2022-09-20,Paid Search,108.45,Standard,64,France,1,39.98
C000293,2023-06-25,Referral,24.45,Basic,37,US,1,39.96
C000294,2022-02-18,Paid Search,79.39,Standard,47,US,1,59.97
C000295,2022-04-24,Referral,43.87,Basic,50,France,1,159.89
C000296,2022-09-05,Affiliate,25.74,Basic,57,Canada,1,379.69
C000297,2022-09-04,Email,36.66,Standard,23,France,1,99.95
C000298,2023-01-05,Organic,29.07,Standard,50,France,1,39.98
C000299,2022-01-21,Referral,54.93,Basic,42,Canada,1,29.97
C000300,2022-09-17,Affiliate,20.65,Standard,40,UK,0,479.76
C000301,2023-11-04,Affiliate,24.15,Standard,39,UK,1,19.99
C000302,2022-02-15,Social Media,57.3,Standard,29,Australia,1,19.99
C000303,2023-04-21,Affiliate,39.14,Basic,26,US,1,9.99
C000304,2023-04-14,Organic,15.87,Basic,30,US,0,579.66
C000305,2022-11-20,Social Media,55.77,Premium,52,Germany,0,639.84
C000306,2022-09-17,Organic,25.07,Basic,40,US,0,329.75
C000307,2023-11-03,Social Media,43.66,Standard,45,Germany,1,159.92
C000308,2023-03-27,Referral,33.56,Basic,62,Germany,0,119.88
C000309,2023-01-12,Email,30.67,Basic,45,US,1,9.99
C000310,2023-03-17,Email,59.8,Basic,36,Canada,0,29.98
C000311,2022-04-16,Organic,16.56,Basic,46,France,1,29.97
C000312,2023-03-13,Paid Search,98.28,Basic,20,Australia,1,9.99
C000313,2022-12-28,Email,59.93,Basic,21,US,0,49.95
C000314,2023-11-19,Affiliate,36.25,Standard,65,Australia,1,59.97
C000315,2022-06-13,Organic,12.86,Standard,46,US,0,39.98
C000316,2022-05-10,Organic,14.72,Standard,41,Germany,0,19.99
C000317,2023-08-04,Organic,22.1,Standard,41,Canada,0,619.69
C000318,2023-03-31,Organic,21.48,Standard,43,Canada,0,559.72
C000319,2023-10-28,Social Media,42.48,Basic,65,UK,1,19.98
C000320,2023-05-27,Email,35.48,Standard,34,Canada,0,39.98
C000321,2023-04-02,Paid Search,119.75,Basic,49,UK,1,89.92
C000322,2022-05-06,Paid Search,109.7,Basic,63,Germany,1,19.98
C000323,2022-03-31,Affiliate,58.7,Premium,60,Canada,0,119.97
C000324,2022-03-08,Email,41.69,Premium,28,Australia,1,439.89
C000325,2023-10-16,Paid Search,105.56,Standard,25,UK,1,19.99
C000326,2022-05-23,Paid Search,105.33,Basic,53,France,1,0.0
C000327,2023-01-13,Referral,52.15,Standard,57,US,0,379.81
C000328,2022-03-09,Social Media,49.91,Standard,48,France,1,19.99
C000329,2023-02-25,Referral,52.93,Basic,38,Australia,0,409.7
C000330,2022-03-17,Referral,38.63,Standard,26,France,1,179.91
C000331,2023-10-18,Email,27.28,Premium,45,France,1,119.97
C000332,2022-02-26,Organic,20.36,Basic,28,Canada,1,9.99
C000333,2022-08-19,Social Media,77.37,Standard,36,US,1,359.82
C000334,2022-09-14,Paid Search,94.45,Standard,26,Australia,1,39.98
C000335,2022-11-07,Email,41.34,Standard,28,France,0,39.98
C000336,2023-08-18,Paid Search,61.98,Standard,56,Canada,1,99.95
C000337,2023-08-01,Organic,26.5,Basic,20,Australia,1,29.97
C000338,2023-08-14,Social Media,62.56,Standard,44,France,0,39.98
C000339,2023-10-17,Organic,19.96,Standard,36,Australia,1,59.97
C000340,2022-11-06,Referral,29.8,Standard,43,Canada,1,19.99
C000341,2023-04-10,Organic,23.77,Basic,44,Germany,1,19.98
C000342,2023-04-21,Paid Search,73.81,Basic,63,Canada,1,9.99
C000343,2022-12-20,Referral,25.23,Basic,53,US,1,129.87
C000344,2022-11-23,Paid Search,82.65,Basic,33,UK,0,339.73
C000345,2022-04-10,Organic,15.8,Basic,57,Germany,1,29.97
C000346,2022-09-12,Paid Search,106.94,Premium,64,Canada,1,199.95
C000347,2022-07-14,Paid Search,84.88,Standard,49,Canada,1,39.98
C000348,2023-05-25,Organic,11.8,Basic,47,UK,1,89.91
C000349,2022-08-09,Email,34.12,Basic,49,France,1,79.95
C000350,2023-11-01,Affiliate,38.82,Standard,24,Germany,1,119.94
C000351,2022-05-18,Social Media,66.38,Standard,41,US,1,19.99
C000352,2023-02-15,Organic,21.41,Basic,53,Canada,0,39.96
C000353,2022-03-17,Referral,40.17,Standard,35,France,1,179.91
C000354,2023-11-28,Email,24.75,Premium,43,Canada,1,79.98
C000355,2022-12-14,Email,57.56,Standard,30,France,0,299.85
C000356,2023-06-06,Referral,40.0,Basic,26,Australia,0,19.98
C000357,2022-12-08,Referral,40.77,Basic,50,UK,1,19.98
C000358,2022-12-02,Email,32.74,Basic,57,Australia,1,129.92
C000359,2022-11-03,Email,33.45,Standard,52,Germany,0,359.82
C000360,2023-07-31,Social Media,53.74,Basic,39,Australia,1,0.0
C000361,2022-04-23,Referral,43.35,Standard,64,Australia,1,439.78
C000362,2023-10-07,Organic,21.94,Basic,59,France,0,59.94
C000363,2023-08-15,Paid Search,100.5,Standard,28,France,1,19.99
C000364,2023-10-07,Affiliate,44.79,Standard,27,Australia,1,99.95
C000365,2022-09-06,Organic,21.45,Standard,30,US,1,399.8
C000366,2023-03-28,Social Media,50.94,Basic,31,Germany,1,9.99
C000367,2023-05-29,Email,56.82,Premium,65,Australia,0,39.99
C000368,2022-03-05,Affiliate,25.52,Basic,38,Australia,1,49.95
C000369,2023-05-05,Email,35.07,Premium,47,France,1,159.96
C000370,2022-12-17,Email,34.17,Standard,64,Australia,1,99.95
C000371,2023-10-21,Affiliate,30.57,Basic,33,Canada,1,439.76
C000372,2023-07-26,Social Media,41.24,Premium,37,Canada,0,279.93
C000373,2022-08-01,Affiliate,48.2,Basic,40,France,0,609.65
C000374,2022-10-08,Social Media,36.09,Standard,42,Germany,1,59.97
C000375,2022-12-20,Paid Search,70.33,Basic,63,US,1,19.98
C000376,2022-12-21,Referral,46.24,Standard,31,UK,1,59.97
C000377,2023-07-06,Social Media,76.65,Standard,26,US,0,279.86
C000378,2023-09-23,Affiliate,43.47,Basic,60,France,1,439.75
C000379,2022-08-20,Affiliate,29.31,Basic,39,Australia,1,19.98
C000380,2023-04-29,Organic,23.62,Basic,53,UK,1,69.94
C000381,2023-02-21,Affiliate,57.4,Premium,48,Australia,1,439.89
C000382,2022-07-24,Social Media,46.06,Standard,23,Australia,1,79.96
C000383,2023-08-11,Paid Search,87.46,Standard,20,UK,1,19.99
C000384,2023-03-04,Paid Search,115.37,Basic,43,Germany,1,59.94
C000385,2022-07-10,Affiliate,58.49,Premium,20,US,1,39.99
C000386,2022-11-02,Email,44.11,Premium,39,Canada,0,559.86
C000387,2023-04-11,Affiliate,41.73,Basic,26,France,1,9.99
C000388,2023-04-25,Social Media,39.64,Basic,28,Australia,0,339.72
C000389,2023-04-15,Affiliate,30.29,Basic,65,Canada,0,139.86
C000390,2022-10-30,Email,46.98,Basic,57,Australia,1,9.99
C000391,2023-02-20,Referral,40.61,Basic,60,US,1,19.98
C000392,2022-07-09,Paid Search,83.42,Premium,18,Canada,1,39.99
C000393,2023-01-28,Paid Search,81.27,Basic,39,Canada,1,9.99
C000394,2023-08-20,Affiliate,42.92,Basic,41,Australia,1,259.8
C000395,2022-08-30,Organic,23.36,Basic,28,Germany,1,19.98
C000396,2023-05-30,Affiliate,50.79,Standard,58,Canada,1,299.85
C000397,2023-01-12,Email,28.83,Premium,48,UK,1,319.92
C000398,2023-04-11,Affiliate,59.55,Basic,62,France,0,409.73
C000399,2023-04-28,Email,52.08,Standard,33,Australia,0,519.74
