customer_id,month,month_number,engagement_score,logins,sessions,avg_session_duration,features_used,support_tickets,plan,payment_success
C000008,2022-09,8,0.619,15,20,17.48,5,0,Basic,True
C000008,2022-10,9,0.659,19,28,10.1,8,0,Basic,True
C000008,2022-11,10,0.74,17,25,32.96,2,0,Basic,True
C000008,2022-12,11,0.589,25,22,17.41,7,0,Basic,True
C000008,2023-01,12,0.788,15,18,8.76,11,0,Basic,True
C000008,2023-02,13,0.546,10,20,7.45,7,0,Basic,True
C000008,2023-03,14,0.603,18,21,10.63,3,0,Basic,True
C000008,2023-04,15,0.706,12,36,21.21,7,0,Basic,True
C000008,2023-05,16,0.749,22,43,29.85,9,0,Basic,True
C000008,2023-06,17,0.792,26,24,10.66,3,0,Basic,True
C000008,2023-07,18,0.56,13,13,23.28,8,0,Basic,True
C000008,2023-08,19,0.559,10,20,19.06,7,0,Basic,True
C000008,2023-09,20,0.705,19,42,14.93,8,0,Basic,True
C000008,2023-10,21,0.552,15,22,23.4,6,0,Basic,True
C000008,2023-11,22,0.745,31,24,18.97,5,0,Basic,True
C000008,2023-12,23,0.662,13,15,19.96,7,0,Basic,True
C000009,2023-07,1,0.246,8,12,7.93,0,0,Standard,True
C000010,2022-07,1,0.778,32,29,33.63,2,0,Standard,True
C000010,2022-08,2,0.819,13,37,36.5,5,0,Standard,True
C000010,2022-09,3,0.807,29,43,19.77,10,0,Standard,True
C000010,2022-10,4,0.838,28,26,28.86,2,0,Standard,True
C000010,2022-11,5,0.911,28,45,9.92,11,0,Standard,True
C000010,2022-12,6,0.774,20,29,16.61,10,0,Standard,True
C000010,2023-01,7,0.666,25,30,13.36,1,0,Standard,False
C000011,2022-08,1,0.265,7,10,9.61,3,0,Basic,True
C000012,2023-01,1,0.577,10,21,21.32,2,0,Basic,True
C000013,2022-03,1,0.394,12,11,15.05,4,1,Standard,True
C000014,2023-04,1,0.841,32,39,16.44,10,0,Premium,True
C000014,2023-05,2,0.869,29,30,28.7,13,0,Premium,True
C000014,2023-06,3,0.733,22,23,25.9,8,0,Premium,True
C000014,2023-07,4,0.93,28,53,35.04,4,0,Premium,True
C000014,2023-08,5,0.905,40,48,12.29,8,0,Premium,True
C000014,2023-09,6,0.934,32,54,36.59,12,0,Premium,True
C000014,2023-10,7,0.875,16,23,26.51,9,1,Premium,True
C000014,2023-11,8,0.799,28,25,34.0,5,0,Premium,True
C000014,2023-12,9,0.684,18,33,10.53,9,0,Premium,True
C000014,2024-01,10,0.964,27,43,24.49,13,0,Premium,True
C000014,2024-02,11,0.812,30,27,28.07,8,1,Premium,True
C000014,2024-03,12,0.882,25,31,36.83,9,0,Premium,True
C000014,2024-04,13,0.785,29,40,15.57,10,0,Premium,True
C000014,2024-05,14,0.901,19,26,17.83,9,0,Premium,True
C000014,2024-06,15,0.844,32,48,11.71,9,0,Premium,True
C000014,2024-07,16,0.765,20,26,32.95,7,0,Premium,True
C000014,2024-08,17,0.781,30,22,29.89,10,0,Premium,True
C000015,2022-08,1,0.88,32,36,24.95,13,1,Standard,True
C000015,2022-09,2,0.852,36,47,13.32,11,0,Standard,True
C000015,2022-10,3,0.707,17,16,28.63,8,1,Standard,True
C000015,2022-11,4,0.954,28,41,18.67,6,0,Standard,True
C000015,2022-12,5,0.918,24,23,32.19,9,0,Standard,True
C000015,2023-01,6,0.751,15,21,25.86,5,0,Standard,True
C000015,2023-02,7,0.815,17,28,35.24,2,0,Standard,True
C000015,2023-03,8,0.722,30,36,28.52,10,0,Standard,True
C000015,2023-04,9,0.855,28,29,34.16,11,1,Standard,True
C000015,2023-05,10,0.896,31,51,30.2,3,0,Standard,True
C000015,2023-06,11,1.0,16,51,21.97,3,1,Standard,True
C000015,2023-07,12,0.941,42,39,21.47,7,0,Standard,True
C000015,2023-08,13,1.0,42,36,18.96,8,0,Standard,True
C000015,2023-09,14,0.808,25,47,16.82,12,1,Standard,True
C000015,2023-10,15,0.931,40,44,22.42,11,0,Standard,True
C000015,2023-11,16,0.854,21,48,35.79,8,1,Standard,True
C000015,2023-12,17,0.831,14,16,32.72,4,0,Standard,True
C000015,2024-01,18,0.883,26,33,10.1,13,0,Standard,True
C000015,2024-02,19,0.71,19,39,26.86,4,0,Standard,True
C000015,2024-03,20,0.856,34,45,26.03,12,0,Standard,True
C000015,2024-04,21,1.0,15,31,29.34,3,0,Standard,True
C000015,2024-05,22,1.0,32,32,36.04,12,1,Standard,True
C000015,2024-06,23,0.893,33,47,26.66,7,0,Standard,True
C000015,2024-07,24,0.797,11,46,32.34,8,0,Standard,True
C000015,2024-08,25,0.726,28,22,30.23,9,0,Standard,True
C000015,2024-09,26,0.862,26,43,9.73,7,0,Standard,True
C000015,2024-10,27,0.718,18,32,32.22,8,0,Standard,True
C000015,2024-10,28,0.828,34,21,12.29,12,0,Standard,True
C000015,2024-11,29,0.84,21,36,21.12,2,0,Standard,True
C000015,2024-12,30,0.709,21,30,23.06,9,0,Standard,True
C000015,2025-01,31,0.991,29,55,34.18,5,0,Standard,True
C000015,2025-02,32,0.863,37,48,34.11,2,0,Standard,True
C000015,2025-03,33,0.97,32,42,37.15,2,0,Standard,True
C000015,2025-04,34,0.797,13,31,13.19,10,0,Standard,True
C000016,2022-02,1,0.304,10,8,5.54,3,0,Basic,True
C000016,2022-03,2,0.371,14,12,3.81,4,0,Basic,True
C000016,2022-04,3,0.314,13,6,5.41,2,0,Basic,True
C000016,2022-05,4,0.285,5,12,7.01,2,0,Basic,True
C000016,2022-06,5,0.335,8,18,3.82,1,0,Basic,True
C000016,2022-07,6,0.363,14,11,10.54,2,0,Basic,True
C000016,2022-08,7,0.359,8,12,12.2,5,0,Basic,True
C000016,2022-08,8,0.332,14,16,8.59,4,0,Basic,True
C000016,2022-09,9,0.287,8,15,11.64,1,0,Basic,True
C000016,2022-10,10,0.289,8,13,3.83,3,0,Basic,True
C000017,2022-11,1,0.796,21,35,19.9,8,0,Basic,True
C000017,2022-12,2,1.0,35,45,17.69,15,0,Basic,True
C000017,2023-01,3,0.974,15,29,32.32,6,0,Basic,True
C000017,2023-02,4,0.952,39,44,15.56,8,0,Basic,True
C000017,2023-03,5,0.784,27,35,10.49,7,0,Basic,True
C000017,2023-04,6,0.868,39,19,28.72,13,0,Basic,True
C000017,2023-05,7,0.772,16,32,19.38,3,0,Basic,True
C000017,2023-06,8,0.92,22,35,23.9,11,0,Basic,True
C000017,2023-07,9,0.975,38,26,26.21,8,1,Basic,True
C000017,2023-08,10,1.0,26,53,29.12,13,0,Basic,True
C000017,2023-09,11,0.817,17,49,28.33,6,0,Basic,True
C000017,2023-10,12,0.858,19,18,34.57,5,0,Basic,True
C000017,2023-11,13,0.925,25,37,23.47,11,0,Basic,True
C000017,2023-12,14,0.834,20,30,12.7,3,1,Basic,True
C000017,2024-01,15,1.0,36,28,20.13,8,0,Standard,True
C000017,2024-02,16,0.837,14,39,33.13,3,0,Standard,True
C000017,2024-03,17,0.837,36,22,17.29,6,0,Standard,True
C000017,2024-04,18,0.81,14,34,18.92,3,0,Standard,True
C000017,2024-05,19,0.855,14,35,34.91,5,0,Standard,True
C000017,2024-06,20,1.0,17,32,19.35,13,0,Standard,True
C000017,2024-07,21,0.957,28,24,31.58,6,0,Standard,True
C000017,2024-08,22,0.96,35,40,20.59,14,0,Standard,True
C000017,2024-09,23,1.0,29,31,30.82,9,0,Standard,True
C000017,2024-10,24,0.833,25,44,34.15,7,0,Standard,True
C000017,2024-11,25,0.807,16,16,31.32,9,1,Standard,True
C000017,2024-12,26,0.887,20,36,8.97,2,0,Standard,True
C000018,2022-05,1,0.358,6,18,9.59,2,1,Standard,True
C000018,2022-06,2,0.475,9,23,7.8,2,0,Standard,True
C000018,2022-07,3,0.36,14,11,5.44,4,0,Standard,True
C000018,2022-08,4,0.391,8,15,15.44,1,0,Standard,True
C000018,2022-09,5,0.386,17,16,15.49,4,0,Standard,True
C000018,2022-10,6,0.384,13,16,14.71,4,0,Standard,True
C000019,2023-08,1,0.645,18,19,16.98,1,0,Basic,True
C000019,2023-09,2,0.717,19,27,9.46,2,0,Basic,True
C000019,2023-10,3,0.595,22,13,26.21,8,0,Basic,True
C000019,2023-11,4,0.597,9,27,8.62,8,0,Basic,True
C000019,2023-12,5,0.542,22,26,16.97,6,0,Basic,True
C000019,2024-01,6,0.582,25,32,17.33,2,0,Basic,True
C000019,2024-02,7,0.535,12,31,13.68,4,0,Basic,True
C000019,2024-03,8,0.691,24,40,23.14,6,0,Basic,True
C000019,2024-04,9,0.681,10,22,8.73,2,1,Basic,True
C000020,2023-06,1,0.678,27,22,21.99,8,0,Basic,True
C000020,2023-07,2,0.602,24,24,12.1,9,0,Basic,True
C000020,2023-08,3,0.687,24,23,21.74,7,0,Basic,True
C000020,2023-09,4,0.78,16,17,24.81,4,0,Basic,True
C000020,2023-10,5,0.806,20,19,21.89,10,0,Basic,True
C000020,2023-11,6,0.8,22,43,28.25,10,0,Basic,True
C000020,2023-12,7,0.613,11,25,16.35,4,0,Basic,True
C000020,2024-01,8,0.565,22,18,21.84,2,0,Basic,True
C000020,2024-02,9,0.805,14,24,10.77,7,0,Basic,True
C000020,2024-03,10,0.792,14,28,34.96,3,0,Basic,True
C000020,2024-04,11,0.747,13,28,14.37,4,0,Basic,True
C000020,2024-05,12,0.578,19,25,15.66,5,0,Basic,True
C000021,2023-10,1,0.556,10,18,9.04,6,0,Basic,True
C000022,2023-01,1,0.194,6,4,3.36,2,0,Standard,True
C000023,2023-11,1,0.395,7,12,13.68,1,0,Premium,True
C000024,2022-12,1,0.577,20,25,5.9,2,0,Basic,True
C000024,2023-01,2,0.536,8,31,16.85,6,0,Basic,True
C000024,2023-02,3,0.493,14,27,12.45,5,0,Basic,True
C000024,2023-03,4,0.524,9,29,23.55,2,0,Basic,True
C000024,2023-04,5,0.604,17,22,14.26,3,0,Basic,True
C000024,2023-05,6,0.423,10,10,9.58,1,0,Basic,True
C000024,2023-06,7,0.46,20,22,8.0,2,0,Basic,True
C000025,2022-09,1,0.274,7,14,6.28,3,0,Standard,True
C000026,2022-11,1,0.484,20,12,10.0,5,0,Basic,True
C000026,2022-12,2,0.562,20,21,20.35,2,1,Basic,True
C000026,2023-01,3,0.603,21,13,27.08,9,0,Basic,True
C000026,2023-01,4,0.54,17,22,15.77,6,0,Basic,True
C000026,2023-03,5,0.453,19,13,7.51,3,0,Basic,True
C000027,2023-07,1,0.894,14,42,13.28,13,1,Standard,True
C000027,2023-08,2,0.941,15,52,38.14,13,0,Standard,True
C000027,2023-09,3,0.981,23,25,19.84,7,0,Standard,True
C000028,2022-04,1,0.79,15,45,26.91,4,0,Standard,True
C000028,2022-05,2,0.838,24,23,17.77,5,0,Standard,True
C000028,2022-06,3,0.813,27,36,8.51,5,0,Standard,True
C000028,2022-07,4,0.941,21,26,21.51,5,0,Standard,True
C000028,2022-08,5,0.834,29,34,30.27,4,0,Standard,True
C000028,2022-09,6,0.756,24,19,22.07,8,0,Standard,True
C000028,2022-10,7,0.83,36,29,33.99,12,0,Standard,True
C000028,2022-11,8,0.698,27,34,21.31,2,0,Standard,False
C000028,2022-12,9,0.933,31,22,11.78,7,0,Standard,True
C000028,2023-01,10,0.989,42,32,18.17,11,0,Standard,True
C000028,2023-02,11,0.777,30,38,32.81,8,0,Standard,True
C000028,2023-03,12,0.743,26,20,15.84,4,0,Standard,True
C000028,2023-04,13,1.0,33,46,19.51,15,0,Standard,True
C000028,2023-05,14,0.719,12,30,9.49,6,0,Standard,True
C000028,2023-06,15,0.935,18,27,22.85,8,0,Standard,True
C000028,2023-07,16,1.0,34,21,44.89,13,0,Standard,False
C000029,2022-03,1,0.97,26,45,26.55,5,0,Premium,True
C000029,2022-03,2,0.717,31,27,15.32,3,0,Premium,True
C000029,2022-04,3,0.924,37,36,25.8,7,0,Premium,True
C000029,2022-05,4,0.884,32,31,27.27,7,0,Premium,True
C000029,2022-06,5,0.909,23,28,12.88,10,0,Premium,True
C000029,2022-07,6,0.837,14,24,14.12,11,0,Premium,False
C000030,2023-05,1,0.759,34,36,31.24,2,0,Standard,True
C000030,2023-06,2,0.828,19,46,11.61,3,0,Standard,True
C000030,2023-07,3,0.994,20,45,42.43,4,0,Standard,True
C000030,2023-08,4,0.91,40,32,30.88,6,0,Standard,True
C000030,2023-09,5,0.938,42,44,25.09,6,0,Standard,True
C000030,2023-10,6,0.95,35,30,9.66,14,1,Standard,True
C000030,2023-11,7,1.0,38,55,43.22,15,1,Standard,True
C000030,2023-12,8,1.0,30,27,31.11,9,1,Standard,True
C000030,2024-01,9,0.96,17,37,34.29,7,0,Standard,True
C000030,2024-02,10,0.835,20,47,36.07,11,0,Standard,True
C000030,2024-03,11,1.0,31,49,29.82,14,0,Standard,True
C000030,2024-04,12,1.0,27,24,33.53,8,0,Standard,False
C000030,2024-05,13,0.927,31,20,38.82,10,0,Standard,True
C000030,2024-06,14,0.777,28,26,15.53,10,0,Standard,False
C000030,2024-07,15,0.786,12,21,20.75,2,0,Standard,True
C000030,2024-08,16,0.992,44,42,32.1,7,0,Standard,True
C000030,2024-09,17,0.993,44,21,26.07,4,0,Standard,True
C000030,2024-10,18,0.813,17,45,23.51,10,0,Standard,True
C000030,2024-11,19,1.0,34,57,27.4,14,0,Standard,True
C000030,2024-12,20,0.983,28,54,43.95,8,0,Standard,True
C000030,2025-01,21,0.759,24,28,12.43,9,0,Standard,True
C000030,2025-02,22,0.88,21,31,29.95,13,0,Standard,True
C000030,2025-03,23,0.908,37,19,21.23,3,0,Standard,True
C000030,2025-04,24,1.0,34,60,14.32,11,0,Standard,True
C000030,2025-05,25,0.786,16,15,28.74,8,0,Standard,True
C000030,2025-06,26,0.865,14,49,30.02,3,0,Standard,True
C000030,2025-07,27,0.911,39,29,9.78,7,0,Standard,True
C000030,2025-07,28,1.0,16,38,19.9,5,0,Standard,True
C000031,2023-11,1,0.393,17,14,14.4,1,0,Basic,True
C000031,2023-12,2,0.464,20,21,17.78,3,0,Basic,True
C000031,2024-01,3,0.446,20,20,8.09,2,0,Basic,True
C000032,2023-03,1,0.369,8,18,9.01,1,0,Standard,True
C000032,2023-04,2,0.484,9,20,20.6,7,0,Standard,True
C000033,2022-11,1,0.613,17,23,23.04,4,0,Standard,True
C000033,2022-12,2,0.462,9,13,15.68,5,1,Standard,True
C000033,2023-01,3,0.621,21,16,26.63,6,0,Standard,True
C000033,2023-02,4,0.465,8,25,10.63,1,0,Standard,True
C000034,2023-04,1,0.417,17,17,13.41,5,0,Basic,True
C000034,2023-05,2,0.49,22,11,14.11,2,0,Basic,False
C000035,2023-07,1,0.435,13,24,7.08,4,0,Basic,True
C000035,2023-08,2,0.575,22,28,25.03,6,1,Basic,True
C000035,2023-09,3,0.479,17,22,17.3,3,0,Basic,True
C000035,2023-10,4,0.463,6,27,13.62,2,0,Basic,True
C000035,2023-11,5,0.431,10,22,6.92,5,0,Basic,True
C000035,2023-12,6,0.419,16,15,8.73,5,0,Basic,True
C000035,2024-01,7,0.532,11,20,16.1,7,1,Basic,True
C000035,2024-02,8,0.566,12,19,11.15,1,1,Standard,True
C000035,2024-03,9,0.456,7,15,4.98,6,0,Standard,True
C000035,2024-04,10,0.608,16,27,17.91,4,0,Standard,True
C000035,2024-05,11,0.443,15,9,18.87,4,0,Standard,True
C000035,2024-06,12,0.598,18,15,17.18,7,0,Standard,True
C000035,2024-07,13,0.468,11,20,11.89,3,0,Standard,True
C000035,2024-08,14,0.533,22,17,17.47,4,0,Standard,True
C000035,2024-09,15,0.612,27,22,18.63,4,0,Standard,True
C000035,2024-10,16,0.429,14,9,5.23,1,0,Standard,True
C000035,2024-11,17,0.493,20,23,7.24,6,0,Standard,True
C000035,2024-12,18,0.487,21,17,17.24,7,0,Standard,True
C000036,2022-03,1,1.0,20,46,21.12,8,0,Basic,True
C000036,2022-04,2,0.809,21,37,21.05,6,0,Basic,True
C000036,2022-05,3,0.74,11,37,7.87,8,0,Basic,True
C000036,2022-05,4,0.966,31,45,26.25,11,0,Standard,True
C000036,2022-06,5,0.951,23,26,21.0,8,1,Standard,True
C000036,2022-07,6,1.0,21,42,40.51,12,0,Standard,True
C000036,2022-08,7,0.879,14,45,22.05,13,0,Standard,True
C000036,2022-09,8,0.702,16,23,13.91,3,0,Standard,True
C000036,2022-10,9,0.829,15,22,28.35,2,1,Standard,True
C000036,2022-11,10,0.987,14,55,10.35,2,1,Standard,True
C000036,2022-12,11,0.892,36,49,29.58,2,0,Standard,True
C000036,2023-01,12,0.956,18,40,24.62,9,1,Standard,True
C000036,2023-02,13,0.812,12,23,27.52,8,0,Standard,True
C000036,2023-03,14,0.91,15,52,33.39,3,0,Standard,True
C000036,2023-04,15,0.884,28,28,20.61,7,0,Standard,True
C000036,2023-05,16,0.835,24,41,34.21,8,0,Standard,True
C000036,2023-06,17,1.0,33,39,42.67,15,0,Standard,True
C000036,2023-07,18,0.946,33,55,24.76,10,0,Standard,True
C000036,2023-08,19,0.747,18,22,28.26,11,0,Standard,True
C000036,2023-09,20,1.0,25,41,11.43,9,0,Standard,True
C000036,2023-10,21,0.958,38,51,27.46,8,0,Standard,True
C000036,2023-11,22,0.734,31,41,10.24,8,0,Standard,True
C000036,2023-12,23,0.949,22,28,10.22,5,0,Standard,True
C000036,2024-01,24,0.807,25,25,23.49,12,0,Standard,True
C000036,2024-02,25,0.761,22,41,19.25,10,0,Standard,True
C000036,2024-03,26,0.774,27,23,20.79,4,0,Standard,True
C000036,2024-04,27,0.81,19,31,19.35,8,0,Standard,True
C000036,2024-05,28,0.721,27,15,29.03,8,0,Standard,True
C000036,2024-06,29,0.869,34,27,10.43,8,0,Standard,True
C000037,2023-06,1,0.323,11,16,12.77,2,0,Basic,True
C000037,2023-07,2,0.257,4,5,4.52,2,0,Basic,True
C000037,2023-08,3,0.223,8,13,6.88,1,0,Basic,True
C000037,2023-09,4,0.254,3,5,9.7,3,0,Basic,True
C000037,2023-10,5,0.259,5,5,11.14,2,0,Basic,True
C000037,2023-11,6,0.315,6,6,4.96,3,0,Basic,True
C000038,2023-08,1,0.305,5,10,9.91,4,0,Standard,True
C000038,2023-09,2,0.271,9,8,4.16,3,0,Standard,True
C000038,2023-10,3,0.306,13,15,12.87,2,0,Standard,True
C000039,2022-04,1,0.453,20,17,12.55,2,0,Basic,True
C000039,2022-05,2,0.543,23,27,13.82,5,0,Basic,True
C000039,2022-06,3,0.465,17,22,13.6,4,0,Basic,True
C000039,2022-07,4,0.453,13,25,8.37,4,0,Basic,True
C000039,2022-08,5,0.588,9,26,12.99,2,0,Basic,True
C000039,2022-09,6,0.415,12,20,11.86,2,0,Basic,True
C000039,2022-10,7,0.493,14,23,10.12,4,0,Basic,True
C000039,2022-11,8,0.591,8,18,7.3,6,0,Basic,True
C000039,2022-12,9,0.497,20,27,21.48,1,0,Basic,True
C000039,2023-01,10,0.474,17,18,16.86,2,0,Basic,True
C000039,2023-02,11,0.565,16,30,24.81,5,0,Basic,True
C000039,2023-03,12,0.479,8,25,16.88,3,0,Basic,True
C000039,2023-04,13,0.576,20,19,20.11,2,0,Basic,True
C000039,2023-05,14,0.504,20,23,16.69,4,0,Basic,True
C000039,2023-06,15,0.48,7,12,13.09,7,0,Basic,True
C000039,2023-07,16,0.405,17,16,9.3,2,0,Basic,True
C000039,2023-07,17,0.475,20,20,10.31,6,0,Basic,True
C000039,2023-08,18,0.488,19,15,20.59,1,0,Basic,True
C000040,2022-02,1,0.458,9,11,12.61,1,0,Standard,True
C000040,2022-03,2,0.587,18,21,14.96,7,0,Standard,True
C000040,2022-04,3,0.485,17,15,7.39,2,0,Standard,True
C000040,2022-05,4,0.584,9,32,22.03,7,0,Standard,True
C000040,2022-06,5,0.566,12,23,17.3,7,1,Standard,True
C000040,2022-07,6,0.539,10,30,23.88,5,0,Standard,True
C000040,2022-08,7,0.534,22,17,14.05,6,0,Standard,True
C000041,2022-12,1,0.214,3,12,2.59,1,0,Basic,True
C000041,2023-01,2,0.175,7,8,3.54,2,0,Standard,True
C000041,2023-02,3,0.178,4,6,6.51,1,0,Standard,True
C000042,2023-03,1,0.361,10,14,11.01,4,0,Basic,True
C000042,2023-04,2,0.25,11,5,5.48,0,0,Standard,True
C000043,2023-07,1,0.345,9,14,5.45,2,0,Premium,True
C000043,2023-08,2,0.389,13,8,14.1,2,0,Premium,True
C000043,2023-09,3,0.375,15,18,10.43,2,0,Premium,True
C000043,2023-10,4,0.378,8,22,6.69,5,1,Premium,True
C000043,2023-11,5,0.366,16,15,14.04,2,0,Premium,True
C000043,2023-12,6,0.45,14,18,12.98,1,0,Premium,True
C000043,2024-01,7,0.485,13,26,7.37,3,0,Premium,True
C000043,2024-02,8,0.352,15,15,15.13,3,0,Premium,True
C000043,2024-03,9,0.331,10,8,6.41,1,0,Premium,True
C000043,2024-04,10,0.402,6,19,11.02,4,0,Premium,True
C000043,2024-05,11,0.358,14,13,6.76,5,0,Premium,True
C000043,2024-06,12,0.435,19,20,5.4,2,0,Premium,True
C000043,2024-07,13,0.459,18,23,7.98,5,1,Premium,True
C000043,2024-08,14,0.426,17,20,17.48,5,0,Premium,True
C000043,2024-09,15,0.363,6,7,13.79,1,0,Premium,True
C000043,2024-10,16,0.406,10,12,13.73,5,0,Premium,True
C000044,2022-08,1,0.508,19,10,8.16,5,0,Basic,True
C000044,2022-09,2,0.661,9,33,12.39,5,0,Basic,True
C000044,2022-10,3,0.69,11,30,22.56,5,0,Basic,True
C000044,2022-11,4,0.493,20,22,16.36,3,0,Basic,True
C000044,2022-12,5,0.499,16,20,18.75,2,1,Basic,True
C000044,2023-01,6,0.584,8,12,25.47,1,0,Basic,True
C000044,2023-02,7,0.52,19,15,5.98,6,0,Basic,True
C000044,2023-03,8,0.589,18,12,11.89,5,1,Basic,True
C000044,2023-04,9,0.487,14,26,7.96,7,0,Basic,False
C000044,2023-05,10,0.676,14,37,7.8,6,0,Basic,True
C000044,2023-06,11,0.635,16,31,22.28,9,1,Basic,True
C000044,2023-07,12,0.47,19,19,5.58,6,0,Basic,True
C000045,2022-06,1,0.383,6,16,5.91,2,0,Basic,True
C000045,2022-07,2,0.305,11,18,10.99,2,0,Basic,True
C000045,2022-08,3,0.375,16,13,9.15,1,0,Basic,True
C000045,2022-09,4,0.397,16,7,15.59,1,0,Basic,False
C000046,2023-03,1,0.316,9,9,5.27,1,0,Premium,False
C000046,2023-04,2,0.284,7,8,9.23,1,0,Premium,True
C000047,2023-05,1,0.691,22,31,31.08,6,1,Basic,True
C000047,2023-06,2,0.686,11,18,19.59,6,0,Basic,False
C000047,2023-07,3,0.766,16,29,21.29,9,1,Basic,True
C000047,2023-08,4,0.781,35,26,10.16,6,0,Basic,True
C000047,2023-09,5,0.773,23,38,17.75,11,0,Basic,True
C000047,2023-10,6,0.732,28,24,26.17,8,0,Basic,True
C000047,2023-11,7,0.666,15,29,19.15,8,0,Basic,True
C000047,2023-12,8,0.655,17,25,26.1,7,0,Basic,True
C000047,2024-01,9,0.8,19,39,9.28,7,0,Basic,True
C000047,2024-02,10,0.829,24,18,10.23,7,0,Basic,True
C000047,2024-03,11,0.825,24,20,13.56,9,0,Basic,True
C000047,2024-04,12,0.632,22,31,16.67,5,0,Basic,True
C000047,2024-05,13,0.802,22,16,16.47,8,0,Basic,True
C000048,2023-07,1,0.351,13,19,5.81,4,0,Basic,True
C000049,2023-05,1,0.542,11,11,16.53,4,0,Premium,True
C000049,2023-06,2,0.479,20,13,13.19,5,0,Premium,True
C000049,2023-07,3,0.563,14,25,16.38,3,0,Premium,True
C000049,2023-08,4,0.504,11,15,8.09,4,0,Premium,True
C000049,2023-09,5,0.456,17,18,12.99,2,1,Premium,True
C000049,2023-10,6,0.564,20,31,20.98,4,0,Premium,True
C000049,2023-11,7,0.554,21,12,15.37,4,0,Premium,True
C000049,2023-12,8,0.618,26,35,24.23,3,0,Premium,True
